activity_id,which_distribution,which_units,log_plot,per_dollar_ok,has_exp,actual_total_expenditure,outcome_norm,baseline_norm,target_norm,outcome_norm_log10,baseline_norm_log10,target_norm_log10,outcome_norm_dollars_per_unit,baseline_norm_dollars_per_unit,target_norm_dollars_per_unit,outcome_norm_dollars_per_unit_log10,baseline_norm_dollars_per_unit_log10,target_norm_dollars_per_unit_log10,outcome_norm_dollars_per_unit_split,baseline_norm_dollars_per_unit_split,target_norm_dollars_per_unit_split,outcome_norm_dollars_per_unit_split_log10,baseline_norm_dollars_per_unit_split_log10,target_norm_dollars_per_unit_split_log10,outcome_over_target
GB-GOV-7-ICF-PO0010-MADA,stoves,count_stoves,True,True,True,3013151.2,309.0,,,2.4899584794248346,,,9751.298381877023,,,3.989062445702918,,,4875.649190938511,,,3.6880324500389365,,,
44000-P153781,stoves,count_stoves,True,True,True,496713327.0,220000.0,0.0,,5.342422680822207,,,2257.78785,,,3.3536831316089235,,,1128.893925,,,3.0526531359449423,,,
44000-P079633,stoves,count_stoves,True,True,True,91715608.0,34800.0,,,4.541579243946581,,,2635.5059770114945,,,3.4208640054798956,,,2635.5059770114945,,,3.4208640054798956,,,
GB-1-200754,stoves,count_stoves,True,True,False,,49.0,,,1.6901960800285136,,,,,,,,,,,,,,,
XM-DAC-41114-PROJECT-00091297,stoves,count_stoves,True,True,False,,144.0,,,2.1583624920952498,,,,,,,,,,,,,,,
44000-P050653,stoves,count_stoves,True,True,True,287909770.0,449.873,0.0,220.0,2.6530899289226637,,2.342422680822206,639980.1054964401,,1308680.7727272727,5.806166473659812,,6.116833721760269,319990.05274822004,,654340.3863636364,5.505136477995831,,5.815803726096288,2.044877272727273
GB-1-202995,stoves,count_stoves,True,True,False,,47442.0,,,4.676162989181146,,,,,,,,,,,,,,,
XM-DAC-41114-PROJECT-00117913,stoves,count_stoves,True,True,False,,1500.0,,,3.1760912590556813,,,,,,,,,,,,,,,
44000-P161490,stoves,count_stoves,True,True,True,16307974.0,4961.0,,,3.6955692270361857,,,3287.235234831687,,,3.5168307833435453,,,1095.745078277229,,,3.0397095286238827,,,
44000-P088220,benefit_cost_ratios,ratio,True,False,True,134014225.0,1.3,,,0.11394335230683678,,,,,,,,,,,,,,,
